Group,Variable,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Identifier,waveid,Cross wave ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Background,hgsex,Sex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Background,hhiage,Age,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Background,anbcob,Country of birth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Background,aneab,How well speaks English,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Background,edhigh1,Highest education level achieved,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Employment,esempdt,Current employment status,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Employment,jbhruc,Hours per week usually worked in all jobs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Employment,jbmo61,Occupation group 1-digit ANZSCO 2006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Employment,jbmi61,Current main job industry. ANZSIC 2006 division,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retirement,rtage,History: Age retired/intends to retire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retirement,sartpw,Retired completely from paid work,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Retirement,rtcomp,Retired completely from the workforce,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Retirement,rtcompn,Retired completely from the workforce,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Retirement,rtcage,At what age did you completely retire,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Retirement,rtpage,At what age do you consider you became partially retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Family,mrcms,Current marital status,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Family,tcr,Number of own resident children,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Family,gcecf,How often do you take care of your grandchildren,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Family,hencam,Main carer of non-resident person(s),0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Family,hercam,Main carer of resident person(s),0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Family,lshrcar,Hours per week - Caring for disabled spouse/relative,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Family,hhtype,Household type,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,ledfr,Life events in past year: Death of a close friend,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,ledhm,"Life events in past year: A weather related disaster (flood, bushfire, cyclone) damaged or destroyed your home",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,ledrl,Life events in past year: Death of close relative/family member,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,ledsc,Life events in past year: Death of spouse or child,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,lefni,Life events in past year: Major improvement in finances,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,lefnw,Life events in past year: Major worsening in finances,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,lefrd,Life events in past year: Fired or made redundant,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,leinf,Life events in past year: Serious injury/illness to family member,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,leins,Life events in past year: Serious personal injury/illness,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,lejob,Life events in past year: Changed jobs,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,lemar,Life events in past year: Got married,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,lemvd,Life events in past year: Changed residence,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Major Life Events,leprm,Life events in past year: Promoted at work,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
